,id,popularity,title,vote_average,vote_count
0,238,104.485,The Godfather,8.7,17886
1,278,120.265,The Shawshank Redemption,8.7,23728
2,772071,19.639,Cuando Sea Joven,8.6,215
3,240,59.844,The Godfather Part II,8.6,10810
4,19404,27.917,Dilwale Dulhania Le Jayenge,8.6,4124
5,424,51.531,Schindler's List,8.6,14036
6,129,79.473,Spirited Away,8.5,14258
7,389,34.422,12 Angry Men,8.5,7245
8,372058,105.187,Your Name.,8.5,9793
9,496243,64.093,Parasite,8.5,15688
10,820067,238.433,The Quintessential Quintuplets Movie,8.5,275
11,155,73.744,The Dark Knight,8.5,29653
12,497,67.189,The Green Mile,8.5,15370
13,680,61.972,Pulp Fiction,8.5,25120
14,429,52.704,"The Good, the Bad and the Ugly",8.5,7376
15,13,54.342,Forrest Gump,8.5,24603
16,122,67.073,The Lord of the Rings: The Return of the King,8.5,21554
17,995133,23.84,"The Boy, the Mole, the Fox and the Horse",8.5,315
18,372754,17.931,Dou kyu sei – Classmates,8.5,303
19,769,42.907,GoodFellas,8.5,11232
20,704264,15.722,Primal: Tales of Savagery,8.5,263
21,696374,12.684,Gabriel's Inferno,8.5,2339
22,346,30.801,Seven Samurai,8.5,3041
23,11216,29.321,Cinema Paradiso,8.5,3738
24,637,43.27,Life Is Beautiful,8.5,11868
25,12477,0.6,Grave of the Fireflies,8.4,4624
26,311,32.287,Once Upon a Time in America,8.4,4647
27,539,40.391,Psycho,8.4,8944
28,724089,36.388,Gabriel's Inferno: Part II,8.4,1469
29,550,78.805,Fight Club,8.4,26374
30,667257,9.825,Impossible Things,8.4,334
31,598,25.715,City of God,8.4,6445
32,510,37.598,One Flew Over the Cuckoo's Nest,8.4,9355
33,761053,32.487,Gabriel's Inferno: Part III,8.4,1015
34,620249,10.416,The Legend of Hei,8.4,266
35,14537,26.697,Harakiri,8.4,769
36,324857,87.968,Spider-Man: Into the Spider-Verse,8.4,12694
37,4935,75.965,Howl's Moving Castle,8.4,8259
38,157336,103.786,Interstellar,8.4,31319
39,378064,41.454,A Silent Voice: The Movie,8.4,3374
40,120,73.799,The Lord of the Rings: The Fellowship of the Ring,8.4,22642
41,1891,31.466,The Empire Strikes Back,8.4,15316
42,92321,0.6,Hotarubi no Mori e,8.4,938
43,40096,8.881,A Dog's Will,8.4,983
44,423,38.46,The Pianist,8.4,8041
45,121,68.684,The Lord of the Rings: The Two Towers,8.4,19684
46,244786,57.711,Whiplash,8.4,13427
47,553512,12.033,Burn the Stage: The Movie,8.4,397
48,18491,29.026,Neon Genesis Evangelion: The End of Evangelion,8.4,1279
49,807,40.502,Se7en,8.4,18727
50,652837,31.183,"Josee, the Tiger and the Fish",8.4,333
51,27205,73.876,Inception,8.4,33650
52,599,16.756,Sunset Boulevard,8.4,2212
53,567,23.788,Rear Window,8.4,5679
54,255709,37.299,Hope,8.4,497
55,73,29.546,American History X,8.4,10374
56,851644,116.507,20th Century Girl,8.3,449
57,568332,13.185,Taylor Swift: Reputation Stadium Tour,8.3,275
58,3782,15.628,Ikiru,8.3,920
59,914,18.473,The Great Dictator,8.3,2916
60,274,10.831,The Silence of the Lambs,8.3,14487
61,128,45.886,Princess Mononoke,8.3,6942
62,901,16.329,City Lights,8.3,1860
63,12493,12.491,High and Low,8.3,688
64,533514,39.303,Violet Evergarden: The Movie,8.3,317
65,101,54.681,Léon: The Professional,8.3,13210
66,644479,10.57,Dedicated to my ex,8.3,482
67,207,35.491,Dead Poets Society,8.3,9941
68,105,48.666,Back to the Future,8.3,17887
69,568300,10.002,BTS World Tour: Love Yourself in Seoul,8.3,399
70,3082,18.724,Modern Times,8.3,3264
71,527641,37.637,Five Feet Apart,8.3,5123
72,20334,24.824,The Shop Around the Corner,8.3,604
73,630566,13.887,Clouds,8.3,922
74,25237,23.184,Come and See,8.3,1134
75,335,28.541,Once Upon a Time in the West,8.3,3756
76,441130,28.628,Wolfwalkers,8.3,941
77,447362,62.127,Life in a Year,8.3,1410
78,16672,14.833,Woman in the Dunes,8.3,336
79,795607,15.009,Green Snake,8.3,248
80,315162,789.949,Puss in Boots: The Last Wish,8.3,5477
81,361743,243.534,Top Gun: Maverick,8.3,6773
82,283566,26.956,Evangelion: 3.0+1.0 Thrice Upon a Time,8.3,646
83,29259,12.162,Le Trou,8.3,379
84,28,29.617,Apocalypse Now,8.3,7201
85,10494,45.734,Perfect Blue,8.3,2021
86,10376,21.236,The Legend of 1900,8.3,2019
87,637920,68.886,Miracle in Cell No. 7,8.3,4129
88,618344,29.84,Justice League Dark: Apokolips War,8.3,1294
89,975,17.687,Paths of Glory,8.3,2452
90,632632,17.181,Given,8.3,347
91,537061,15.993,Steven Universe: The Movie,8.3,743
92,77338,62.786,The Intouchables,8.3,15693
93,265177,18.041,Mommy,8.3,2473
94,670,43.576,Oldboy,8.3,7452
95,299534,97.111,Avengers: Endgame,8.3,23106
96,15804,17.683,A Brighter Summer Day,8.3,247
97,299536,200.315,Avengers: Infinity War,8.3,26829
98,508965,21.637,Klaus,8.3,3379
99,575813,13.011,Better Days,8.3,330
100,8587,83.947,The Lion King,8.3,16498
101,1585,26.414,It's a Wonderful Life,8.3,3727
102,740937,9.468,"Simone, The Journey of the Century",8.3,207
103,635302,226.779,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.3,3097
104,42269,9.634,We All Loved Each Other So Much,8.3,464
105,797,18.546,Persona,8.3,1822
